gen,form,total_gb,kit,new_lots,new_sellers,new_min,new_p25,new_fast,new_med,new_p75,new_eur_gb,used_lots,used_sellers,used_min,used_p25,used_fast,used_med,used_p75,used_eur_gb,top_brands,top_speeds,vel_sampled,vel_active,vel_sold_total,vel_median_units_per_week_per_listing,vel_sum_units_per_week,cross_fast_landed,cross_best_vs_de_new
ddr4,sodimm,12,1x,0,0,,,,,,,1,1,51.8,,51.8,51.8,,4.32,Crucial:1,2400:1,0,0,0,,,,
ddr4,sodimm,16,1x,781,91,65.99,94.99,75.19,109.68,140.15,6.86,167,116,54.19,69.99,59.99,79.54,95.04,4.97,other:295; Crucial:136; Samsung:111; Kingston:66,3200:468; 2666:198; 2400:150,8,7,10,0.0,0.1,AT:96; FR:161; IT:85; ES:84; NL:84; GB:115; US:107,1.12
ddr4,sodimm,16,kit,279,41,61.89,86.3,70.0,112.75,150.74,7.05,90,71,45.0,66.18,52.9,76.19,93.78,4.76,other:206; Samsung:60; SK Hynix:18; Crucial:14,3200:153; 2666:86; 2400:66,8,6,22,0.02,0.2,AT:96; IT:96; ES:106; NL:106; GB:115; US:134,1.38
ddr4,sodimm,32,1x,369,35,130.0,199.9,148.0,255.56,361.94,7.99,40,33,126.19,156.19,143.74,175.0,187.69,5.47,other:226; Samsung:47; HP:30; Kingston:29,3200:270; 2666:63; 2400:52,8,6,31,0.01,0.2,AT:160; IT:195; ES:160; NL:160; GB:220; US:203,1.08
ddr4,sodimm,32,kit,387,27,110.0,185.19,156.19,229.0,287.19,7.16,55,46,97.9,146.16,121.19,156.0,188.39,4.87,other:268; Samsung:23; Crucial:22; HP:17,3200:160; 2666:114; 2400:67,8,4,37,0.02,0.2,,
ddr4,sodimm,48,kit,0,0,,,,,,,1,1,229.99,,229.99,229.99,,4.79,Micron:1,2666:1,0,0,0,,,,
ddr4,sodimm,64,1x,6,5,706.19,796.77,940.94,940.94,1192.67,14.7,7,4,306.19,306.39,353.5,353.5,481.75,5.52,Kingston:5; Crucial:2; Corsair:2; other:2,3200:6; 2400:2; 2666:2,0,0,0,,,,
ddr4,sodimm,64,kit,253,13,298.0,377.1,355.19,419.99,670.59,6.56,20,17,306.19,325.69,315.0,356.19,390.09,5.57,other:196; HP:25; Crucial:17; Apple:7,3200:165; 2666:63; 2400:38,8,4,77,0.12,0.5,,
ddr4,sodimm,128,kit,1,1,775.0,,775.0,775.0,,6.05,0,0,,,,,,,Apple:1,2666:1,0,0,0,,,,
ddr4,sodimm-ecc,4,1x,0,0,,,,,,,1,1,21.18,,21.18,21.18,,5.29,other:1,3200:1,0,0,0,,,,
ddr4,sodimm-ecc,8,1x,10,9,66.64,82.11,86.87,117.94,159.5,14.74,3,3,29.1,,99.5,99.5,,12.44,other:3; Kingston:3; Crucial:2; Lenovo:2,3200:7; 2666:2; 2400:1,0,0,0,,,,
ddr4,sodimm-ecc,16,1x,23,12,96.19,102.34,102.34,181.03,249.0,11.31,8,7,55.19,66.18,75.19,76.19,106.19,4.76,Kingston:8; other:8; Crucial:5; QNAP/Synology:3,2666:13; 3200:12; 2933:1,0,0,0,,,,
ddr4,sodimm-ecc,32,1x,7,4,318.5,331.14,394.53,394.53,492.75,12.33,1,1,155.19,,155.19,155.19,,4.85,Kingston:4; QNAP/Synology:1; other:1; SK Hynix:1,3200:6; 2666:1; 2933:1,0,0,0,,,,
ddr4,sodimm-ecc,32,kit,1,1,193.97,,193.97,193.97,,6.06,1,1,99.0,,99.0,99.0,,3.09,Crucial:1; Apple:1,3200:1; 2666:1,0,0,0,,,,
